name,genre,developer,rating
Grand Theft Auto IV,Action,Rockstar Games,M
The Elder Scrolls IV: Oblivion,RPG,Bethesda,M
Tony Hawk's Pro Skater 2,Sports,Activision,T
The Witcher 3: Wild Hunt,RPG,CD Projekt Red,M
Horizon Zero Dawn,Adventure,Guerrilla Games,T
Uncharted 4,Adventure,Naughty Dog,T
God of War,Adventure,Sony Santa Monica Studio,M
Minecraft,Sandbox,Mojang Studios,E
FIFA 23,Sports,EA Sports,E
The Legend of Zelda: Breath of the Wild,Adventure,Nintendo EPD,E10+
